date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:54	85/85	---M-Z	200	added ('OK')	text/plain	date:Fri,%2026%20Sep%202025%2012:04:56%20GMT	https://nguyenanhhao.com/robots.txt		(from )
19:04:54	111316/111316	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Sep%202025%2012:04:56%20GMT	https://nguyenanhhao.com/	D:/dcmm/dimemay/nguyenanhhao.com/index.html	(from )
19:04:56	11553/11553	---M-Z	200	added ('OK')	text/css	etag:%2268cc5ea4-2d21%22	https://nguyenanhhao.com/dist/css/main.css	D:/dcmm/dimemay/nguyenanhhao.com/dist/css/main.css	(from https://nguyenanhhao.com/)
19:04:58	111316/111316	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Sep%202025%2012:04:59%20GMT	https://nguyenanhhao.com/work	D:/dcmm/dimemay/nguyenanhhao.com/work.html	(from https://nguyenanhhao.com/)
19:05:00	10303/10303	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Sep%202025%2012:05:00%20GMT	https://nguyenanhhao.com/info	D:/dcmm/dimemay/nguyenanhhao.com/info.html	(from https://nguyenanhhao.com/)
19:05:00	16689/16689	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2026%20Sep%202025%2012:05:01%20GMT	http://use.typekit.net/ik/IYupjExU7m-hxdb5HxdpwQUWRa47scMsWRblLset9PMfe0CgfHYEBsJzwD9oFDIDWDZRFcJXjAjawesRwA93Fcjt5QiRFeIX529Xw2ZqZ2Mkw2IX5QM3jAb-qMI7OcuoSeNkieZzde8zOcFzdP37Oco1iW88dcB0-eyydkoRdhXCHKo3ScvkOWZTZWS0dW83da4XZcNC-Av0jhNlOeuoSeNkieZzde8zOcFzdPU0ZamoZAoydcyGjAv0jhNlOYgkdDJlic88ikolpWgzS1scdhUTdkoRdhXCiaiaOco1iW88dcB0-eyydkoRdhXKgeZXdcC7fbKImsMMeMb6MKG4fJBmIMMjgkMfqMYHlrf6g6.js?cb=1f53b6c894574d8da808a7082aae42721a519e23	D:/dcmm/dimemay/use.typekit.net/ik/IYupjExU7m-hxdb5HxdpwQUWRa47scMsWRblLset9PMfe0CgfHYEBsJzwD9oFDIDWDZRFcJXjAjawesRwA93Fcjt5QiRFeIX529Xw2ZqZ2Mkw2IX5QM3jAb-qMI7OcuoSeNkieZzde8zOcFzdP37Oco1iW88dcB0-eyydkoRdhXCHKo3ScvkOWZTZWS0dW83da4XZcNC-	(from https://nguyenanhhao.com/)
19:05:00	43457/43457	---M--	200	added ('OK')	text/css	etag:7baf3369618637a7a405b35cc73c0b1f	https://cdn.myportfolio.com/b8e13446-a72f-4a67-b5a5-563ac057183c/64e6cba1c9eef28aa708a937879f59171748971426.css?h=7bdb4895a9f6414660e10cf23871366d	D:/dcmm/dimemay/cdn.myportfolio.com/b8e13446-a72f-4a67-b5a5-563ac057183c/64e6cba1c9eef28aa708a937879f591717489714268f39.css	(from https://nguyenanhhao.com/)
19:05:01	57578/57578	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Sep%202025%2012:05:03%20GMT	https://nguyenanhhao.com/lofficiel-vietnam-the-cover-pride	D:/dcmm/dimemay/nguyenanhhao.com/lofficiel-vietnam-the-cover-pride.html	(from https://nguyenanhhao.com/)
19:05:01	2726/2726	---M--	200	added ('OK')	image/png	etag:647fb0ef420ce29e7340b40f2abe843c	https://cdn.myportfolio.com/b8e13446-a72f-4a67-b5a5-563ac057183c/3c22d548-2319-431e-afe1-fb10d348fdc6_rwc_0x250x1080x844x32.png?h=364995e2fccdea2f46b11af6f6ddfd62	D:/dcmm/dimemay/cdn.myportfolio.com/b8e13446-a72f-4a67-b5a5-563ac057183c/3c22d548-2319-431e-afe1-fb10d348fdc6_rwc_0x250x1080x844x327f40.png	(from https://nguyenanhhao.com/)
19:05:02	4493/4493	---M--	200	added ('OK')	image/jpeg	etag:0c9224465b54e3fdde81f70c7d7685e8	https://cdn.myportfolio.com/b8e13446-a72f-4a67-b5a5-563ac057183c/535d3094-8e00-4b84-a420-abe9be1f56bc_rwc_0x38x4252x3324x32.jpg?h=76e660e712be5a80c0a74708c84c9820	D:/dcmm/dimemay/cdn.myportfolio.com/b8e13446-a72f-4a67-b5a5-563ac057183c/535d3094-8e00-4b84-a420-abe9be1f56bc_rwc_0x38x4252x3324x327ec4.jpg	(from https://nguyenanhhao.com/)
